Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
Thoughtblab,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),John Smith,4/20/24,SAAS,Churned Customer,7,,,833,90,8/7/24,6/27/24,,
Jaxnation,Spain,40.416775,-3.703790,Energy & Utilities,Small (11-200),Emily Johnson,5/28/24,SAAS,Churned Customer,7,,,1623,30,10/25/24,9/11/24,,
Mybuzz,Italy,41.902782,12.496366,Education & Science,Small (11-200),Michael Brown,3/17/24,SAAS,Churned Customer,7,,,1928,20,3/17/25,5/11/24,,
Kare,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,1/18/24,SAAS,Churned Customer,7,,,303,50,8/7/24,5/6/24,,
Skaboo,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),Michael Brown,4/6/24,SAAS,Churned Customer,7,,,1911,30,10/11/24,7/25/24,,
Flashset,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,2/21/24,Custom solution,Churned Customer,7,,,455,20,9/23/24,5/11/24,,
Yozio,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Laura Thompson,2/13/24,SAAS,Churned Customer,7,,,351,30,3/18/24,4/17/24,,
Tanoodle,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Jessica Martinez,1/15/24,Custom solution,Churned Customer,7,,,230,70,5/17/24,5/11/24,,
"Reilly, Wisozk and Stamm",France,48.864716,2.349014,Retail & Distribution,Small (11-200),Michael Brown,3/9/24,SAAS,Churned Customer,7,,,1697,80,7/25/24,6/30/24,,
O'Conner-Sawayn,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,4/1/24,Services,Churned Customer,7,,,320,60,5/24/24,7/1/24,,
Klocko-Sporer,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Emily Johnson,2/12/24,Custom solution,Churned Customer,7,,,721,20,1/10/25,3/31/24,,
Borer Inc,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,2/29/24,Services,Churned Customer,7,,,768,80,8/18/24,6/15/24,,
"Jacobson, Crist and O'Kon",Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),Kevin Anderson,4/11/24,SAAS,Churned Customer,7,,,741,40,9/19/24,5/13/24,,
Hickle Inc,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Laura Thompson,1/23/24,SAAS,Churned Customer,7,,,668,70,10/24/24,4/19/24,,
"Zulauf, Osinski and Lakin",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Jessica Martinez,3/10/24,Custom solution,Churned Customer,7,,,406,30,5/24/24,5/6/24,,
"Cruickshank, Lubowitz and Marquardt",Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,4/12/24,Services,Churned Customer,7,,,1686,40,5/6/24,4/25/24,,
Roberts-Glover,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Small (11-200),Michael Brown,3/15/24,Services,Churned Customer,7,,,317,40,9/15/24,7/13/24,,
Bauch Group,Netherlands,52.370216,4.895168,Recreation & Sports,Small (11-200),Sarah Davis,1/17/24,SAAS,Churned Customer,7,,,1813,40,3/28/24,1/24/24,,
"Reynolds, Kunze and Christiansen",Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),David Wilson,1/24/24,Services,Churned Customer,7,,,1515,40,10/22/24,2/3/24,,
"Skiles, Koepp and Walter",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Jessica Martinez,4/19/24,SAAS,Churned Customer,7,,,1569,50,11/5/24,5/21/24,,
Hermiston and Sons,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Sarah Davis,5/6/24,Custom solution,Churned Customer,7,,,405,40,4/9/25,6/7/24,,
Roberts-Stracke,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Laura Thompson,5/30/24,SAAS,Churned Customer,7,,,1456,60,8/3/24,6/6/24,,
"Frami, Gerlach and Sporer",France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),David Wilson,5/7/24,Services,Churned Customer,7,,,217,90,8/4/24,8/22/24,,
Schumm-Block,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Laura Thompson,2/28/24,Services,Churned Customer,7,,,426,40,12/17/24,4/10/24,,
"Beahan, Nitzsche and Williamson",Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Sarah Davis,4/25/24,SAAS,Churned Customer,7,,,1846,60,4/19/25,7/31/24,,
